function_word,moliere_medecinmalgrelui.txt,moliere_monsieurpourceaugnac.txt,moliere_sicilien.txt,moliere_jalousiedubarbouille.txt,moliere_medecinvolant.txt,moliere_depitamoureux.txt,moliere_amantsmagnifiques.txt,moliere_impromptuversailles.txt,moliere_precieusesridicules.txt,moliere_mariageforce.txt,moliere_festindepierre.txt,moliere_tartuffe.txt,moliere_critiqueecoledesfemmes.txt,moliere_misanthrope.txt,moliere_princessedelide.txt,"moliere,amants-magnifiques-livret.txt",moliere_amourmedecin.txt,moliere_georgedandin.txt,moliere_sganarelle.txt,moliere_etourdi.txt,"moliere,bourgeois-gentilhomme-livret.txt","moliere,psyche-livret.txt",moliere_amphitryon.txt,moliere_comtesseescarbagnas.txt,moliere_avare.txt,moliere_fourberiesdescapin.txt,moliere_ecoledesfemmes.txt,moliere_maladeimaginaire.txt,moliere_domgarciedenavarre.txt,moliere_ecoledesmaris.txt,moliere_facheux.txt,moliere_melicerte.txt,"moliere,malade-imaginaire-1682.txt",moliere_femmessavantes.txt,moliere_bourgeoisgentilhomme.txt,moliere_psyche.txt,"moliere,dom-juan-1682.txt"
de,299,655,194,121,154,469,554,304,251,209,543,651,347,721,487,128,233,556,513,596,74,280,510,214,796,507,518,707,507,342,325,181,731,540,724,610,552
et,244,347,142,88,81,407,372,206,155,168,533,670,271,693,418,116,216,335,298,447,71,208,426,130,595,333,483,574,434,319,290,165,618,504,472,467,534
que,260,295,133,99,105,329,315,165,193,162,506,405,231,478,296,40,171,302,295,402,36,58,326,172,617,397,358,432,392,260,166,115,462,299,498,337,477
à,68,81,27,14,23,64,97,43,42,30,104,107,52,134,76,9,56,81,61,99,8,26,80,37,100,97,98,126,109,34,44,20,133,89,114,87,101
en,130,119,55,47,57,240,108,73,81,70,204,288,83,297,155,29,58,90,172,292,31,59,205,50,133,150,266,235,209,86,149,64,234,202,203,222,212
l,110,190,56,38,50,213,169,70,65,70,163,322,110,361,207,48,79,128,238,276,42,115,215,48,0,166,258,200,259,2,117,80,186,239,214,344,172
est,175,194,78,56,59,206,144,94,100,79,258,307,142,336,148,30,106,177,158,235,20,71,213,73,126,170,257,293,193,86,109,88,301,270,285,188,255
le,147,236,83,163,70,221,212,129,101,63,256,301,192,366,226,96,79,120,206,280,70,112,224,122,332,213,292,251,219,128,145,87,245,222,274,253,259
qu,130,138,83,28,63,182,145,110,79,43,199,334,120,413,181,19,90,139,179,230,20,45,156,65,0,184,259,242,259,4,132,68,249,272,187,223,200
qu',0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,13,5,265,0,9,0,2,145,3,0,0,0,0,3,0
un,130,154,93,49,49,243,115,86,111,60,192,299,67,281,168,37,88,87,152,277,33,69,219,56,161,153,219,240,295,89,164,63,253,223,208,240,199
la,155,178,86,78,87,205,218,155,145,103,234,268,215,304,322,78,153,159,215,222,47,149,179,200,310,175,256,288,164,143,159,54,328,205,388,247,251
d,82,110,68,26,19,190,122,71,50,44,183,279,85,270,185,39,76,102,135,228,12,63,222,42,4,125,176,194,241,6,123,60,193,216,153,227,194
d',0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,12,6,209,0,18,0,4,123,2,0,0,0,15,8,0
ce,79,102,64,31,39,138,115,65,59,44,149,197,76,233,133,18,45,86,119,208,10,20,195,45,201,137,178,166,202,89,82,59,161,152,147,170,138
-ce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ne,130,154,67,37,53,190,165,90,69,62,233,282,128,300,151,24,71,146,139,178,9,16,184,74,279,193,189,264,166,139,72,78,258,188,202,186,225
pour,80,112,62,19,31,150,115,61,57,40,140,207,81,227,112,29,64,77,103,217,13,33,129,59,216,149,145,166,138,98,99,52,184,179,173,171,135
n,89,86,43,24,31,113,98,64,51,47,165,177,87,202,115,17,64,90,93,135,11,28,117,37,0,116,129,145,133,4,48,39,158,146,129,149,163
n',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qui,123,119,59,30,51,137,147,103,61,68,139,162,124,214,125,32,56,114,155,164,28,48,140,54,198,139,146,198,157,90,103,51,194,130,184,211,138
si,38,50,39,32,20,138,72,21,26,23,84,93,50,115,83,11,22,56,79,138,17,14,74,28,100,49,92,102,115,75,50,40,99,90,81,122,79
mais,47,35,36,17,26,85,54,29,27,27,76,115,41,140,68,8,39,39,62,124,3,9,67,25,101,61,116,75,104,71,51,30,89,76,52,64,74
les,84,131,67,18,25,98,197,108,89,50,165,199,151,224,137,70,80,85,97,127,55,125,135,59,213,118,129,194,133,81,98,37,222,171,231,212,163
a,68,81,27,14,23,64,97,43,42,30,104,107,52,134,76,9,56,81,61,99,8,26,80,37,100,97,98,126,109,34,44,20,133,89,114,87,101
pas,79,91,34,30,41,106,98,67,52,45,156,141,112,168,78,20,57,85,95,107,9,9,117,44,165,122,118,159,68,85,50,30,147,111,136,66,145
plus,24,46,23,7,18,67,59,40,18,29,63,75,51,92,60,12,36,35,70,84,4,42,71,16,106,44,68,107,77,39,34,15,106,52,93,157,64
c,66,56,26,10,17,72,43,43,40,26,90,106,32,93,43,11,30,68,46,84,3,15,67,22,0,72,104,108,71,5,42,27,107,90,105,70,90
c',0,0,1,3,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18,122,0,0,0,0,60,3,0,0,0,0,3,0
tout,49,61,26,14,16,88,72,40,35,46,107,144,45,132,57,12,26,54,50,105,7,11,86,21,117,75,102,105,72,51,34,23,112,103,120,69,101
une,57,75,33,23,19,109,79,52,46,53,116,117,66,126,109,30,51,80,58,92,19,38,82,39,117,84,103,120,104,39,51,29,129,82,130,101,118
ai,41,57,28,8,28,64,71,21,25,41,116,76,26,71,50,2,30,55,43,89,0,0,50,20,24,78,67,69,49,9,39,19,71,78,82,49,111
s',0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,58,0,1,0,1,47,0,0,0,0,0,0,0
s,45,34,26,7,16,63,50,22,18,18,48,79,22,92,50,15,21,43,68,63,10,42,72,19,0,54,69,56,65,0,43,21,58,51,38,66,50
point,47,56,25,9,8,73,52,26,19,29,92,126,36,97,53,4,25,61,34,74,4,5,57,34,127,75,81,93,77,42,27,40,107,85,77,60,96
fait,39,38,19,20,13,63,41,29,36,17,67,65,26,98,56,6,29,39,80,82,16,21,67,20,82,57,88,63,77,44,55,23,68,78,94,58,66
des,51,60,21,15,12,35,126,60,36,20,104,127,76,136,68,43,69,38,57,58,17,117,92,27,113,54,86,101,87,58,61,23,133,103,121,161,98
sans,16,20,14,11,9,54,21,10,15,10,30,68,25,65,33,6,15,22,56,68,4,14,45,5,45,29,67,33,61,43,30,14,35,31,30,55,29
par,24,39,14,12,20,53,44,14,16,16,54,81,35,79,48,14,25,25,50,92,15,52,60,15,68,61,67,57,94,37,39,22,63,60,49,79,63
au,21,34,13,17,12,64,28,8,43,13,62,78,17,60,49,8,20,32,24,75,13,35,53,14,66,48,54,56,73,35,50,16,64,60,43,60,60
du,65,44,30,12,13,47,53,121,40,28,95,104,57,126,46,14,38,31,43,66,19,49,56,20,77,68,82,75,60,44,31,19,77,67,100,79,96
se,45,38,27,12,10,54,52,36,23,16,47,88,36,97,64,18,20,31,58,51,9,41,43,16,57,50,64,82,54,33,38,17,88,62,50,69,58
dans,35,36,23,27,16,52,69,34,33,28,47,79,39,115,53,16,31,26,62,64,12,32,84,28,79,73,94,107,91,40,38,26,113,68,60,94,44
cette,25,25,17,19,7,48,42,11,12,17,46,54,41,76,58,4,18,25,85,72,2,9,57,14,48,53,63,32,71,41,15,23,35,41,41,47,48
être,17,35,13,6,20,55,37,16,20,18,51,50,31,73,21,12,19,40,40,47,8,8,64,12,37,35,50,40,50,33,27,11,41,48,42,41,49
